Epoch 309: start=-2.5493, end=2.3047, tau=6.5637
Epoch 310: start=-2.5493, end=2.3047, tau=6.5634
Epoch 311: start=-2.5493, end=2.3047, tau=6.5635
Epoch 312: start=-2.5493, end=2.3047, tau=6.5635
Epoch 313: start=-2.5493, end=2.3047, tau=6.5633
Epoch 314: start=-2.5494, end=2.3047, tau=6.5634
Epoch 315: start=-2.5494, end=2.3047, tau=6.5634
Epoch 316: start=-2.5494, end=2.3047, tau=6.5633
Epoch 317: start=-2.5494, end=2.3047, tau=6.5631
Epoch 318: start=-2.5494, end=2.3047, tau=6.5633
Epoch 319: start=-2.5494, end=2.3047, tau=6.5633
Epoch 320: start=-2.5494, end=2.3047, tau=6.5633
Epoch 321: start=-2.5494, end=2.3047, tau=6.5629
Epoch 322: start=-2.5494, end=2.3047, tau=6.5628
Epoch 323: start=-2.5493, end=2.3047, tau=6.5624
Epoch 324: start=-2.5494, end=2.3047, tau=6.5623
Epoch 325: start=-2.5494, end=2.3047, tau=6.5626
Epoch 326: start=-2.5494, end=2.3047, tau=6.5629
Epoch 327: start=-2.5494, end=2.3047, tau=6.5629
Epoch 328: start=-2.5494, end=2.3047, tau=6.5630
Epoch 329: start=-2.5494, end=2.3047, tau=6.5633
Epoch 330: start=-2.5494, end=2.3047, tau=6.5635
Epoch 331: start=-2.5494, end=2.3047, tau=6.5636
Epoch 332: start=-2.5494, end=2.3047, tau=6.5633
Epoch 333: start=-2.5494, end=2.3047, tau=6.5632
Epoch 334: start=-2.5494, end=2.3047, tau=6.5635
Epoch 335: start=-2.5494, end=2.3047, tau=6.5633
Epoch 336: start=-2.5494, end=2.3047, tau=6.5631
Epoch 337: start=-2.5494, end=2.3047, tau=6.5627
Epoch 338: start=-2.5494, end=2.3047, tau=6.5626
Epoch 339: start=-2.5494, end=2.3047, tau=6.5625
Epoch 340: start=-2.5494, end=2.3047, tau=6.5626
Epoch 341: start=-2.5494, end=2.3047, tau=6.5628
Epoch 342: start=-2.5494, end=2.3047, tau=6.5629
Epoch 343: start=-2.5494, end=2.3047, tau=6.5628
Epoch 344: start=-2.5494, end=2.3047, tau=6.5626
Epoch 345: start=-2.5494, end=2.3047, tau=6.5626
Epoch 346: start=-2.5494, end=2.3047, tau=6.5629
Epoch 347: start=-2.5494, end=2.3047, tau=6.5628
Epoch 348: start=-2.5494, end=2.3047, tau=6.5633
Epoch 349: start=-2.5494, end=2.3047, tau=6.5634
Epoch 350: start=-2.5494, end=2.3047, tau=6.5637
Epoch 351: start=-2.5494, end=2.3046, tau=6.5638
Epoch 352: start=-2.5494, end=2.3046, tau=6.5637
Epoch 353: start=-2.5494, end=2.3046, tau=6.5634
Epoch 354: start=-2.5494, end=2.3047, tau=6.5631
Epoch 355: start=-2.5494, end=2.3047, tau=6.5628
Epoch 356: start=-2.5494, end=2.3047, tau=6.5632
Epoch 357: start=-2.5494, end=2.3047, tau=6.5631
Epoch 358: start=-2.5494, end=2.3047, tau=6.5634
Epoch 359: start=-2.5494, end=2.3047, tau=6.5634
Epoch 360: start=-2.5494, end=2.3047, tau=6.5636
Epoch 361: start=-2.5494, end=2.3047, tau=6.5635
Epoch 362: start=-2.5494, end=2.3047, tau=6.5633
Epoch 363: start=-2.5494, end=2.3047, tau=6.5633
Epoch 364: start=-2.5493, end=2.3047, tau=6.5633
Epoch 365: start=-2.5493, end=2.3047, tau=6.5634
Epoch 366: start=-2.5493, end=2.3047, tau=6.5633
Epoch 367: start=-2.5493, end=2.3047, tau=6.5635
Epoch 368: start=-2.5493, end=2.3047, tau=6.5634
Epoch 369: start=-2.5493, end=2.3047, tau=6.5633
Epoch 370: start=-2.5493, end=2.3047, tau=6.5631
Epoch 371: start=-2.5493, end=2.3047, tau=6.5630
Epoch 372: start=-2.5493, end=2.3047, tau=6.5631
Epoch 373: start=-2.5493, end=2.3047, tau=6.5632
Epoch 374: start=-2.5494, end=2.3047, tau=6.5635
Epoch 375: start=-2.5494, end=2.3047, tau=6.5637
Epoch 376: start=-2.5494, end=2.3047, tau=6.5642
Epoch 377: start=-2.5494, end=2.3047, tau=6.5643
Epoch 378: start=-2.5494, end=2.3046, tau=6.5643
Epoch 379: start=-2.5494, end=2.3047, tau=6.5639
Epoch 380: start=-2.5494, end=2.3047, tau=6.5640
Epoch 381: start=-2.5493, end=2.3047, tau=6.5641
Epoch 382: start=-2.5493, end=2.3047, tau=6.5643
Epoch 383: start=-2.5494, end=2.3046, tau=6.5645
Epoch 384: start=-2.5494, end=2.3047, tau=6.5643
Epoch 385: start=-2.5494, end=2.3047, tau=6.5643
Epoch 386: start=-2.5494, end=2.3047, tau=6.5643
Epoch 387: start=-2.5493, end=2.3046, tau=6.5647
Epoch 388: start=-2.5493, end=2.3047, tau=6.5644
Epoch 389: start=-2.5493, end=2.3047, tau=6.5643
